term,N,Y,description,Y_out,N_out,pvalue,odds,freq1,freq2,color_sig,size_sel
HP:0000001,8160,12351,All,0,0,1,0,1,1,>,-0
HP:0000002,93,19,Abnormality of body height,12332,8067,6.160957021032874e-18,0.1336825696835218,0.001538336976763015,0.011397058823529411,<,81.06444914212517
HP:0000009,59,177,Functional abnormality of the bladder,12174,8101,0.0020113627667834705,1.996234339624472,0.014330823415108088,0.007230392156862745,<,23.00908023294501
HP:0000011,1,2,Neurogenic bladder,12349,8159,1,1.321384598830989,1.6193020808031737e-4,1.2254901960784314e-4,>,1.9286549331065744e-16
HP:0000012,3,2,Urinary urgency,12349,8157,1,0.44037341125593926,1.6193020808031737e-4,3.676470588235294e-4,>,1.6231529987332989
HP:0000014,59,179,Abnormality of the bladder,12172,8101,0.0015231199345624542,2.0191211447719013,0.014492753623188406,0.007230392156862745,<,23.492105449956007
HP:0000016,7,31,Urinary retention,12320,8153,1,2.9305369760315814,0.0025099182252449194,8.57843137254902e-4,>,8.558474182979445
HP:0000020,7,78,Urinary incontinence,12273,8153,9.472053128413406e-8,7.4029659697318895,0.006315278115132378,8.57843137254902e-4,<,40.31726535743824
HP:0000028,4,151,Cryptorchidism,12200,8156,3.5159793271521916e-25,25.235055987271007,0.012225730710063963,4.901960784313725e-4,<,110.03885660717144
HP:0000029,0,1,Testicular atrophy,12350,8160,1,Inf,8.096510404015869e-5,0,>,-0
HP:0000032,41,364,Abnormality of male external genitalia,11987,8119,3.8434911721202267e-38,6.012646912322174,0.029471297870617762,0.005024509803921569,<,161.88413830714293
HP:0000034,22,4,Hydrocele testis,12347,8138,0.0059810687721251555,0.11986382829495346,3.2386041616063474e-4,0.002696078431372549,<,21.1159266743941
HP:0000035,37,162,Abnormal testis morphology,12189,8123,2.1743961730581493e-7,2.9176799536522786,0.013116346854505708,0.0045343137254901964,<,38.87368715863139
HP:0000036,0,191,Abnormal penis morphology,12160,8160,6.03200187851788e-40,Inf,0.01546433487167031,0,<,169.10119598630286
HP:0000047,0,182,Hypospadias,12169,8160,6.301056999454604e-38,Inf,0.014735648935308881,0,<,161.02538822568218
HP:0000050,0,7,Hypoplastic male external genitalia,12344,8160,1,Inf,5.667557282811108e-4,0,>,5.313001936649556
HP:0000054,0,7,Micropenis,12344,8160,1,Inf,5.667557282811108e-4,0,>,5.313001936649556
HP:0000069,35,3,Abnormality of the ureter,12348,8125,2.0784223414753396e-8,0.05640582999641241,2.4289531212047608e-4,0.00428921568627451,<,42.95210665037995
HP:0000072,30,0,Hydroureter,12351,8130,1.078687148646955e-9,0,0,0.003676470588235294,<,48.09145984023243
HP:0000073,0,2,Ureteral duplication,12349,8160,1,Inf,1.6193020808031737e-4,0,>,1.1331430287328996
HP:0000076,5,1,Vesicoureteral reflux,12350,8155,1,0.13209887408171328,8.096510404015869e-5,6.127450980392157e-4,>,5.593963665382197
HP:0000077,117,199,Abnormality of the kidney,12152,8043,1,1.1257620284966803,0.01611205570399158,0.014338235294117646,>,1.9512629333255438
HP:0000078,52,375,Abnormality of the genital system,11976,8108,6.480765355826567e-34,4.882058890557704,0.03036191401505951,0.006372549019607843,<,144.9765366684881
HP:0000079,242,631,Abnormality of the urinary system,11720,7918,3.4490078844138495e-11,1.761526141971374,0.051088980649340136,0.029656862745098038,<,54.07226511009725
HP:0000080,11,11,Abnormality of reproductive system physiology,12340,8149,1,0.6604045127585131,8.906161444417456e-4,0.0013480392156862745,>,1.6584770394564672
HP:0000083,84,94,Renal insufficiency,12257,8076,1,0.73735273298533,0.007610719779774917,0.010294117647058823,>,5.366466077123324
HP:0000086,0,20,Ectopic kidney,12331,8160,0.09358358451194192,Inf,0.0016193020808031738,0,<,16.338243155298823
HP:0000091,2,15,Abnormal renal tubule morphology,12336,8158,1,4.9595789594044515,0.0012144765606023804,2.4509803921568627e-4,>,6.55991405615506
HP:0000093,15,36,Proteinuria,12315,8145,1,1.5872970607620565,0.002914743745445713,0.001838235294117647,>,3.2700437735979846
HP:0000100,1,0,Nephrotic syndrome,12351,8159,1,0,0,1.2254901960784314e-4,>,1.6011867034633571
HP:0000103,14,11,Polyuria,12340,8146,1,0.5186795238241559,8.906161444417456e-4,0.001715686274509804,>,3.912112614183303
HP:0000104,0,11,Renal agenesis,12340,8160,1,Inf,8.906161444417456e-4,0,>,9.401393730412332
HP:0000107,0,21,Renal cyst,12330,8160,0.04938742039131744,Inf,0.0017002671848433326,0,<,17.44857648818645
HP:0000110,0,2,Renal dysplasia,12349,8160,1,Inf,1.6193020808031737e-4,0,>,1.1331430287328996
HP:0000113,0,20,Polycystic kidney dysplasia,12331,8160,0.09358358451194192,Inf,0.0016193020808031738,0,<,16.338243155298823
HP:0000118,8160,12351,Phenotypic abnormality,0,0,1,0,1,1,>,-0
HP:0000119,290,814,Abnormality of the genitourinary system,11537,7870,6.157180820628924e-19,1.914664687524069,0.06590559468868917,0.03553921568627451,<,85.06551422716998
HP:0000122,0,11,Unilateral renal agenesis,12340,8160,1,Inf,8.906161444417456e-4,0,>,9.401393730412332
HP:0000126,9,13,Hydronephrosis,12338,8151,1,0.9542864862246233,0.001052546352522063,0.0011029411764705882,>,5.785964799319724e-16
HP:0000140,10,11,Abnormality of the menstrual cycle,12340,8150,1,0.7265250046006122,8.906161444417456e-4,0.0012254901960784314,>,1.179725369333935
HP:0000141,0,4,Amenorrhea,12347,8160,1,Inf,3.2386041616063474e-4,0,>,3.2220063731973085
HP:0000152,708,613,Abnormality of head or neck,11738,7452,1.37972656062805e-22,0.5497114609209726,0.04963160877661728,0.08676470588235294,<,99.66386975945635
HP:0000153,119,113,Abnormality of the mouth,12238,8041,0.487121962036402,0.6239571901406983,0.009149056756537932,0.014583333333333334,<,13.47249101752232
HP:0000154,0,2,Wide mouth,12349,8160,1,Inf,1.6193020808031737e-4,0,>,1.1331430287328996
HP:0000157,19,19,Abnormality of the tongue,12332,8141,1,0.6601842379194406,0.001538336976763015,0.0023284313725490196,>,2.442323059377764
HP:0000159,2,0,Abnormal lip morphology,12351,8158,1,0,0,2.4509803921568627e-4,>,3.202501612419053
HP:0000163,119,113,Abnormal oral cavity morphology,12238,8041,0.487121962036402,0.6239571901406983,0.009149056756537932,0.014583333333333334,<,13.47249101752232
HP:0000164,15,15,Abnormality of the dentition,12336,8145,1,0.6602944110601243,0.0012144765606023804,0.001838235294117647,>,2.2950790075598277
HP:0000168,0,8,Abnormality of the gingiva,12343,8160,1,Inf,6.477208323212695e-4,0,>,6.374720294171306
HP:0000172,1,1,Abnormal uvula morphology,12350,8159,1,0.6606794549006171,8.096510404015869e-5,1.2254901960784314e-4,>,-0
HP:0000174,66,57,Abnormal palate morphology,12294,8094,1,0.5686264727143067,0.004615010930289046,0.008088235294117648,>,10.654349105085442
HP:0000175,66,57,Cleft palate,12294,8094,1,0.5686264727143067,0.004615010930289046,0.008088235294117648,>,10.654349105085442
