bin,term,N,Y,description,Y_out,N_out,pvalue,odds,freq1,freq2,color_sig,size_sel
1,HP:0000001,7707,12033,All,0,0,1,0,1,1,>,-0
1,HP:0000002,46,7,Abnormality of body height,12026,7661,6.603745811221795e-10,0.0969577669820162,5.817335660267597e-4,0.005968599974049566,<,48.369726833247135
1,HP:0000009,49,12,Functional abnormality of the bladder,12021,7658,4.230622526296687e-8,0.15602285506218805,9.972575417601596e-4,0.006357856494096276,<,41.14327111611591
1,HP:0000011,14,0,Neurogenic bladder,12033,7693,0.001551060088529019,0,0,0.0018165304268846503,<,22.886373734782175
1,HP:0000014,49,15,Abnormality of the bladder,12018,7658,1.0314154289110945e-6,0.19508057847102062,0.0012465719272001994,0.006357856494096276,<,35.59515373126231
1,HP:0000016,22,8,Urinary retention,12025,7685,0.1755202474371155,0.2324124936610214,6.648383611734397e-4,0.002854547813675879,<,14.67157933624408
1,HP:0000028,35,162,Cryptorchidism,11871,7672,1.0839638939254696e-7,2.9911925789629863,0.013462976813762155,0.004541326067211626,<,39.508828960530835
1,HP:0000032,48,428,Abnormality of male external genitalia,11605,7659,1.1951437534110674e-43,5.884167159780773,0.035568852322779024,0.006228104320747372,<,183.33920764245454
1,HP:0000035,48,165,Abnormal testis morphology,11868,7659,2.446736261310002e-4,2.218297630013046,0.013712291199202194,0.006228104320747372,<,26.094539592581555
1,HP:0000036,0,146,Abnormal penis morphology,11887,7707,4.286224051176687e-29,Inf,0.012133300091415274,0,<,125.12058875049028
1,HP:0000047,0,142,Hypospadias,11891,7707,2.2343352102866146e-28,Inf,0.011800880910828555,0,<,122.25229490811648
1,HP:0000050,0,4,Hypoplastic male external genitalia,12029,7707,1,Inf,3.3241918058671987e-4,0,>,3.169784581609698
1,HP:0000054,0,4,Micropenis,12029,7707,1,Inf,3.3241918058671987e-4,0,>,3.169784581609698
1,HP:0000069,8,5,Abnormality of the ureter,12028,7699,1,0.4000730473431105,4.1552397573339984e-4,0.0010380173867912288,>,3.2745720936701743
1,HP:0000072,1,0,Hydroureter,12033,7706,1,0,0,1.297521733489036e-4,>,1.6338471573904372
1,HP:0000073,0,4,Ureteral duplication,12029,7707,1,Inf,3.3241918058671987e-4,0,>,3.169784581609698
1,HP:0000076,7,1,Vesicoureteral reflux,12032,7700,1,0.09143768560453423,8.310479514667997e-5,9.082652134423251e-4,<,8.553057164617547
1,HP:0000077,64,1271,Abnormality of the kidney,10762,7643,7.245184464537519e-197,14.104009168661786,0.10562619463143023,0.00830413909432983,<,796.2086904372744
1,HP:0000078,48,428,Abnormality of the genital system,11605,7659,1.1951437534110674e-43,5.884167159780773,0.035568852322779024,0.006228104320747372,<,183.33920764245454
1,HP:0000079,123,1566,Abnormality of the urinary system,10467,7584,5.01251092494112e-209,9.222242327812262,0.13014210919970082,0.015959517321915143,<,844.8486668973732
1,HP:0000083,10,1181,Renal insufficiency,10852,7697,1.5197350042796243e-241,83.75731476588662,0.09814676306822903,0.001297521733489036,<,974.9218167591197
1,HP:0000086,0,3,Ectopic kidney,12030,7707,1,Inf,2.493143854400399e-4,0,>,2.174635963882064
1,HP:0000091,1,29,Abnormal renal tubule morphology,12004,7706,0.010331321551029442,18.615451657879877,0.002410039059253719,1.297521733489036e-4,<,19.592264711354336
1,HP:0000093,6,14,Proteinuria,12019,7701,1,1.4950198163252695,0.0011634671320535194,7.785130400934215e-4,>,1.2184809563266332
1,HP:0000103,1,2,Polyuria,12031,7706,1,1.2809938197834347,1.6620959029335994e-4,1.297521733489036e-4,>,-0
1,HP:0000107,0,26,Renal cyst,12007,7707,0.004004847032203271,Inf,0.002160724673813679,0,<,21.238544495848128
1,HP:0000110,11,1,Renal dysplasia,12032,7696,0.20148987728943646,0.05815406156156087,8.310479514667997e-5,0.0014272739068379395,<,14.431875296633452
1,HP:0000113,0,26,Polycystic kidney dysplasia,12007,7707,0.004004847032203271,Inf,0.002160724673813679,0,<,21.238544495848128
1,HP:0000118,7707,12033,Phenotypic abnormality,0,0,1,0,1,1,>,-0
1,HP:0000119,171,1735,Abnormality of the genitourinary system,10298,7536,1.004295345503631e-208,7.424317118759226,0.14418681957948973,0.022187621642662515,<,843.6414424264469
1,HP:0000123,0,2,Nephritis,12031,7707,1,Inf,1.6620959029335994e-4,0,>,1.1227112732422444
1,HP:0000126,40,23,Hydronephrosis,12010,7667,0.10677970629949715,0.36708927090318993,0.001911410288373639,0.005190086933956144,<,15.534933338190937
1,HP:0000152,756,505,Abnormality of head or neck,11528,6951,4.296839221570142e-51,0.4027927569990285,0.04196792154907338,0.09809264305177112,<,213.11629181161862
1,HP:0000153,261,120,Abnormality of the mouth,11913,7446,9.146455466494947e-29,0.2873892413055061,0.009972575417601595,0.03386531724406384,<,123.80387692946194
1,HP:0000157,24,38,Abnormality of the tongue,11995,7683,1,1.014151450975938,0.0031579822155738384,0.003114052160373686,>,3.857309866213149e-16
1,HP:0000159,12,0,Abnormal lip morphology,12033,7695,0.0101955796203581,0,0,0.001557026080186843,<,19.61524054401823
1,HP:0000163,261,120,Abnormal oral cavity morphology,11913,7446,9.146455466494947e-29,0.2873892413055061,0.009972575417601595,0.03386531724406384,<,123.80387692946194
1,HP:0000172,1,1,Abnormal uvula morphology,12032,7706,1,0.6404943061771856,8.310479514667997e-5,1.297521733489036e-4,>,-0
1,HP:0000174,217,82,Abnormal palate morphology,11951,7490,2.3184813930842826e-29,0.2368459633937826,0.006814593202027757,0.02815622161671208,<,126.1880737668254
1,HP:0000175,217,82,Cleft palate,11951,7490,2.3184813930842826e-29,0.2368459633937826,0.006814593202027757,0.02815622161671208,<,126.1880737668254
1,HP:0000177,12,0,Abnormality of upper lip,12033,7695,0.0101955796203581,0,0,0.001557026080186843,<,19.61524054401823
1,HP:0000185,1,1,Cleft soft palate,12032,7706,1,0.6404943061771856,8.310479514667997e-5,1.297521733489036e-4,>,-0
1,HP:0000190,24,38,Abnormal oral frenulum morphology,11995,7683,1,1.014151450975938,0.0031579822155738384,0.003114052160373686,>,3.857309866213149e-16
